Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,41,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,68,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,94,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,113,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Asian, non-Latinx",All Sexes,8058,116,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,10,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,17,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,37,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,75,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,116,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,143,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,148,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,11,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,30,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,65,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,149,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,229,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,330,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,351,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,6,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,10,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,11,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,19,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,26,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,46,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Other, non-Latinx",All Sexes,6234,51,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,0,
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,3,
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Unknown,All Sexes,,7,
